Date,PE Ratio
29/2/2024,66.31
28/2/2024,65.1
27/2/2024,65.97
26/2/2024,66.3
23/2/2024,66.07
22/2/2024,65.83
21/2/2024,56.56
20/2/2024,58.22
16/2/2024,60.87
15/2/2024,60.9
14/2/2024,61.94
13/2/2024,60.46
12/2/2024,60.56
9/2/2024,60.46
8/2/2024,58.37
7/2/2024,58.76
6/2/2024,57.19
5/2/2024,58.12
2/2/2024,55.46
1/2/2024,52.83
31/1/2024,51.57
30/1/2024,82.82
29/1/2024,82.41
26/1/2024,80.52
25/1/2024,81.29
24/1/2024,80.95
23/1/2024,78.99
22/1/2024,78.7
19/1/2024,78.48
18/1/2024,75.34
17/1/2024,73.95
16/1/2024,74.38
12/1/2024,72.18
11/1/2024,72.32
10/1/2024,71.7
9/1/2024,70.11
8/1/2024,68.94
5/1/2024,64.77
4/1/2024,63.32
3/1/2024,62.76
2/1/2024,63.55
29/12/2023,65.33
28/12/2023,65.33
27/12/2023,65.19
26/12/2023,65.01
22/12/2023,64.42
21/12/2023,64.63
20/12/2023,63.47
19/12/2023,65.44
18/12/2023,66.06
15/12/2023,64.5
14/12/2023,63.79
13/12/2023,63.44
12/12/2023,62.87
11/12/2023,61.51
8/12/2023,62.67
7/12/2023,61.47
6/12/2023,60.03
5/12/2023,61.43
4/12/2023,60.04
1/12/2023,61.7
30/11/2023,61.7
29/11/2023,63.51
28/11/2023,63.09
27/11/2023,63.64
24/11/2023,63.03
22/11/2023,64.27
21/11/2023,65.89
20/11/2023,66.5
17/11/2023,65.04
16/11/2023,65.28
15/11/2023,64.5
14/11/2023,65.51
13/11/2023,64.14
10/11/2023,63.77
9/11/2023,61.94
8/11/2023,61.44
7/11/2023,60.63
6/11/2023,60.36
3/11/2023,59.37
2/11/2023,57.4
1/11/2023,55.84
31/10/2023,53.8
30/10/2023,99.42
27/10/2023,97.83
26/10/2023,97.41
25/10/2023,100.92
24/10/2023,105.47
23/10/2023,103.8
20/10/2023,99.97
19/10/2023,101.69
18/10/2023,101.92
17/10/2023,106.13
16/10/2023,111.34
13/10/2023,109.81
12/10/2023,113.39
11/10/2023,113.06
10/10/2023,110.62
9/10/2023,109.36
6/10/2023,110.54
5/10/2023,107.94
4/10/2023,106.38
3/10/2023,105.11
2/10/2023,108.17
29/9/2023,105.07
28/9/2023,104.08
27/9/2023,102.58
26/9/2023,101.23
25/9/2023,101.99
22/9/2023,100.51
21/9/2023,99.07
20/9/2023,102.03
19/9/2023,105.12
18/9/2023,106.2
15/9/2023,106.04
14/9/2023,110.1
13/9/2023,109.87
12/9/2023,108.38
11/9/2023,109.13
8/9/2023,110.08
7/9/2023,111.69
6/9/2023,113.67
5/9/2023,117.27
1/9/2023,117.17
31/8/2023,119.22
30/8/2023,119
29/8/2023,117.84
28/8/2023,113.13
25/8/2023,111.15
24/8/2023,113.92
23/8/2023,113.81
22/8/2023,110.31
21/8/2023,113.45
18/8/2023,104.59
17/8/2023,104.69
16/8/2023,105.04
15/8/2023,106.14
14/8/2023,105.68
11/8/2023,98.68
10/8/2023,102.39
9/8/2023,102.79
8/8/2023,107.88
7/8/2023,109.7
4/8/2023,107.92
3/8/2023,107.52
2/8/2023,106.93
1/8/2023,112.34
31/7/2023,112.87
28/7/2023,243.49
27/7/2023,239.06
26/7/2023,236.73
25/7/2023,237.91
24/7/2023,232.35
21/7/2023,230.78
20/7/2023,237.08
19/7/2023,245.19
18/7/2023,247.36
17/7/2023,241.98
14/7/2023,236.82
13/7/2023,239.46
12/7/2023,228.66
11/7/2023,220.86
10/7/2023,219.69
7/7/2023,221.37
6/7/2023,219.29
5/7/2023,220.4
3/7/2023,220.9
30/6/2023,220.32
29/6/2023,212.61
28/6/2023,214.15
27/6/2023,218.1
26/6/2023,211.62
23/6/2023,219.84
22/6/2023,224.09
21/6/2023,224.19
20/6/2023,228.17
16/6/2023,222.35
15/6/2023,222.15
14/6/2023,223.94
13/6/2023,213.66
12/6/2023,205.64
9/6/2023,201.93
8/6/2023,200.57
7/6/2023,195.18
6/6/2023,201.32
5/6/2023,204.02
2/6/2023,204.83
1/6/2023,207.14
31/5/2023,197.05
30/5/2023,208.91
26/5/2023,202.84
25/5/2023,197.81
24/5/2023,159.05
23/5/2023,159.83
22/5/2023,162.38
19/5/2023,162.83
18/5/2023,164.99
17/5/2023,157.18
16/5/2023,152.15
15/5/2023,150.8
12/5/2023,147.6
11/5/2023,148.84
10/5/2023,150.44
9/5/2023,148.81
8/5/2023,151.83
5/5/2023,149.38
4/5/2023,143.55
3/5/2023,144.8
2/5/2023,146.93
1/5/2023,150.57
30/4/2023,144.53
28/4/2023,159.48
27/4/2023,156.47
26/4/2023,154.92
